count,action,delay,duration,duration_of_vehicles_left,emergency,flickering,num_of_vehicles_at_entering,num_of_vehicles_in_system,num_of_vehicles_left,partial_duration,queue_length,wait_time
515.0, 0, 5.731324171602735, 241.26666666666677, 12.766666666666666, 0.0, 0, 164, 193, 4, 177.5, 52, 5.0
516.0, 0, 5.793457305100008, 244.0, 0, 0.0, 0, 164, 193, 0, 179.6333333333333, 50, 4.75
517.0, 0, 5.744748786298881, 246.73333333333323, 0, 0.0, 0, 166, 195, 0, 181.7666666666667, 52, 4.333333333333334
518.0, 0, 5.802463939468393, 239.75000000000017, 9.75, 0.0, 0, 163, 195, 3, 175.78333333333333, 50, 4.183333333333334
519.0, 0, 5.875770495602465, 239.56666666666646, 2.9, 0.0, 0, 162, 195, 1, 175.33333333333337, 49, 4.166666666666666
520.0, 0, 6.0709171028902364, 242.26666666666677, 0, 0.0, 0, 166, 199, 0, 177.43333333333337, 47, 3.766666666666667
521.0, 0, 6.094965272583982, 232.53333333333336, 12.5, 0.0, 0, 162, 199, 4, 169.06666666666666, 50, 3.7
522.0, 0, 6.0770823465325785, 235.2333333333332, 0, 0.0, 0, 164, 201, 0, 171.11666666666662, 48, 3.6333333333333333
523.0, 0, 6.120313394417985, 231.5666666666669, 6.4, 0.0, 0, 162, 201, 2, 167.7333333333333, 44, 3.4499999999999997
524.0, 0, 6.163050029055835, 234.26666666666645, 0, 0.0, 0, 162, 201, 0, 169.78333333333327, 47, 3.3
525.0, 0, 6.311405117232285, 236.9666666666668, 0, 0.0, 0, 166, 201, 0, 171.85, 49, 3.3166666666666664
526.0, 0, 6.266862981569949, 239.73333333333335, 0, 0.0, 0, 166, 199, 0, 173.9833333333334, 50, 3.5
527.0, 1, 6.175821140738039, 242.49999999999994, 0, 0.0, 1, 168, 199, 0, 176.1666666666667, 45, 2.9499999999999997
528.0, 0, 5.75389611395825, 242.9333333333335, 2.3666666666666667, 0.0, 0, 164, 195, 4, 177.80000000000013, 48, 3.0166666666666666
529.0, 0, 5.7940503445176414, 245.66666666666646, 0, 0.0, 0, 164, 194, 0, 179.98333333333332, 49, 3.15
530.0, 0, 5.947063608627243, 248.4000000000001, 0, 0.0, 0, 168, 196, 0, 182.21666666666673, 48, 3.0999999999999996
531.0, 0, 5.640242836456048, 250.33333333333337, 0.8666666666666667, 0.0, 0, 166, 196, 2, 184.48333333333335, 52, 3.3499999999999996
532.0, 0, 5.302285223213534, 252.03333333333325, 1.0666666666666667, 0.0, 0, 166, 198, 2, 186.58333333333337, 52, 3.3666666666666663
533.0, 0, 5.314027704797368, 254.8000000000002, 0, 0.0, 0, 166, 198, 0, 188.88333333333333, 49, 3.416666666666667
534.0, 0, 5.3942518419340955, 257.5666666666664, 0, 0.0, 0, 166, 198, 0, 191.23333333333335, 50, 3.7166666666666663
535.0, 0, 5.502741224609535, 259.50000000000006, 0.8333333333333334, 0.0, 0, 168, 202, 2, 193.60000000000002, 50, 3.9000000000000004
536.0, 0, 5.403963800188354, 262.30000000000007, 0, 0.0, 0, 168, 202, 0, 195.98333333333332, 54, 4.316666666666666
537.0, 0, 5.301450922249567, 265.1000000000001, 0, 0.0, 0, 170, 201, 0, 198.39999999999992, 57, 4.8
538.0, 0, 5.313746351490748, 267.93333333333345, 0, 0.0, 0, 170, 201, 0, 200.8333333333333, 59, 5.15
539.0, 0, 5.433401360891416, 270.76666666666637, 0, 0.0, 0, 170, 198, 0, 203.28333333333322, 57, 5.8
540.0, 1, 5.6846876147997705, 270.51666666666677, 3.0833333333333335, 0.0, 1, 173, 199, 1, 203.14999999999995, 55, 5.449999999999999
541.0, 0, 5.691017738179378, 263.1666666666667, 10.233333333333333, 0.0, 0, 170, 198, 3, 196.55, 53, 5.0
542.0, 0, 5.814114618590422, 266.00000000000006, 0, 0.0, 0, 172, 200, 0, 198.96666666666675, 55, 4.716666666666667
543.0, 0, 5.828982602320722, 268.86666666666673, 0, 0.0, 0, 172, 200, 0, 201.40000000000006, 51, 4.583333333333333
544.0, 0, 5.907103663931183, 265.2666666666664, 6.466666666666667, 0.0, 0, 170, 200, 2, 198.18333333333334, 52, 4.55
545.0, 0, 6.100125838922831, 261.3333333333334, 6.766666666666667, 0.0, 0, 172, 204, 2, 194.48333333333335, 51, 4.266666666666666
546.0, 0, 6.077502686230503, 260.85, 3.35, 0.0, 0, 171, 204, 1, 193.83333333333337, 49, 4.066666666666666
547.0, 0, 6.028943841338416, 260.66666666666674, 3.033333333333333, 0.0, 0, 172, 206, 1, 193.53333333333336, 53, 4.183333333333333
548.0, 0, 6.058522081848526, 256.83333333333354, 6.7, 0.0, 0, 170, 206, 2, 190.08333333333337, 50, 3.966666666666667
549.0, 0, 6.121215895606601, 256.34999999999974, 3.316666666666667, 0.0, 0, 169, 206, 1, 189.66666666666663, 51, 3.966666666666666
550.0, 0, 6.269099429745455, 259.1666666666668, 0, 0.0, 0, 173, 208, 0, 191.98333333333335, 50, 4.25
551.0, 0, 6.282945735894412, 262.05000000000007, 0, 0.0, 0, 173, 206, 0, 194.29999999999995, 51, 4.2333333333333325
552.0, 0, 6.25935690362608, 264.9333333333334, 0, 0.0, 0, 175, 208, 0, 196.61666666666665, 51, 4.083333333333333
553.0, 1, 6.271402631265954, 267.85000000000014, 0, 0.0, 1, 175, 204, 0, 198.96666666666667, 48, 3.45
554.0, 0, 5.8759909656742435, 268.3333333333331, 2.4333333333333336, 0.0, 0, 171, 203, 4, 200.6666666666666, 46, 3.3166666666666664
555.0, 0, 6.025765391321462, 271.18333333333345, 0, 0.0, 0, 175, 204, 0, 202.9666666666667, 46, 3.4833333333333334
556.0, 0, 6.004134020315673, 274.1, 0, 0.0, 0, 175, 202, 0, 205.2666666666667, 49, 3.4
557.0, 0, 5.557315442519146, 275.50000000000006, 1.5166666666666666, 0.0, 0, 174, 204, 3, 207.4000000000001, 49, 3.3666666666666667
558.0, 0, 5.41227494910758, 277.9333333333335, 0.4666666666666667, 0.0, 0, 173, 204, 1, 209.66666666666669, 52, 3.75
